Area,RoomFloor,TopFloor,Price,Address,RoomArea,KitchenArea,BuildDate,BathroomNum,BathroomType,BalconyNum,BalconyType,Repair,TypeofBuilding,TypeofMaterial,Heating,GasSupply
38,1,5,1650000,"Калининградская область, Калининград, р-н Ленинградский, улица Горького",,,1978,,,1, балкон,Косметический,Кирпичный,,,
30,1,3,820000,"Калининградская область, Калининград, р-н Ленинградский, Колхозная улица",,10,1944,,,,,Косметический,Блочный,,,
29.3,5,5,1500000,"Калининградская область, Калининград, р-н Ленинградский, Чувашская улица, 9",15,6,1980,,,1, лоджия,Косметический,Кирпичный,Железобетонные,Центральное,
47,2,10,2700000,"Калининградская область, Калининград, р-н Ленинградский, улица Аксакова, 129",19,13,2010,1, совмещенный,1, лоджия,Евроремонт,Кирпичный,Железобетонные,Котел/Квартирное отопление,Центральное
35.5,4,4,2000000,"Калининградская область, Калининград, р-н Ленинградский, улица Юрия Гагарина",,,,1, совмещенный,,,Дизайнерский,,,,
38,1,5,1650000,"Калининградская область, Калининград, р-н Ленинградский, улица Сергея Тюленина",18,12,1978,,,,,Косметический,Блочный,,,
30,5,5,1600000,"Калининградская область, Калининград, р-н Ленинградский, улица Юрия Гагарина, 24А",16,6,1980,1, совмещенный,1, балкон,Косметический,,,,
28,1,5,1350000,"Калининградская область, Калининград, р-н Ленинградский, улица Куйбышева",15,7.5,,1, совмещенный,,,Без ремонта,,,,
34,7,9,2100000,"Калининградская область, Калининград, р-н Ленинградский, улица Еловая Аллея, 55",,8.6,,1, раздельный,1, балкон,Косметический,,,,
31,4,5,1650000,"Калининградская область, Калининград, р-н Ленинградский, улица Куйбышева, 187",18,6,,1, раздельный,1, балкон,Без ремонта,,,,
35,1,5,1700000,"Калининградская область, Калининград, р-н Ленинградский, улица Александра Невского",,,1980,1, совмещенный,1, лоджия,Косметический,,,,
41.1,1,9,2550000,"Калининградская область, Калининград, р-н Ленинградский, улица Генерала Челнокова, 34",,9.8,2011,1, совмещенный,1, лоджия,Косметический,Панельный,Железобетонные,Центральное,Центральное
35,5,5,1550000,"Калининградская область, Калининград, р-н Ленинградский, Чувашская улица, 9",17.5,8,1980,1, совмещенный,,,Без ремонта,Кирпичный,Железобетонные,Центральное,
36,5,9,1900000,"Калининградская область, Калининград, р-н Ленинградский, Мариупольская улица",,,,1, совмещенный,1, балкон,Косметический,,,,
