Area,RoomFloor,TopFloor,Price,Address,RoomArea,KitchenArea,BuildDate,BathroomNum,BathroomType,BalconyNum,BalconyType,Repair,TypeofBuilding,TypeofMaterial,Heating,GasSupply
19,5,5,890000,"Калининградская область, Калининград, р-н Московский, Прибрежный мкр, улица Заводская",,6,1968,1, раздельный,,,Косметический,Панельный,,,
26,4,9,1300000,"Калининградская область, Калининград, р-н Московский, улица Олега Кошевого",,,1988,1, совмещенный,1, балкон,Косметический,Блочный,,,
32,7,9,2400000,"Калининградская область, Калининград, р-н Московский, улица Николая Карамзина, 38",15,9,,1, совмещенный,,,,,,,
37,4,5,2200000,"Калининградская область, Калининград, р-н Московский, Иртышский переулок, 1",17,11,2012,1, совмещенный,,,Косметический,,Железобетонные,Автономная котельная,Центральное
30,2,5,1500000,"Калининградская область, Калининград, р-н Московский, Садовая улица, 7",,,1976,1, раздельный,1, балкон,Без ремонта,Блочный,Железобетонные,Центральное,Центральное
18,5,5,1350000,"Калининградская область, Калининград, р-н Московский, Полоцкая улица",13,3,,1, совмещенный,,,Косметический,Кирпичный,,,
31,6,8,2100000,"Калининградская область, Калининград, р-н Московский, улица Маршала Новикова",,,2016,1, совмещенный,1, лоджия,Евроремонт,,,,
28.2,7,9,1350000,"Калининградская область, Калининград, р-н Московский, Заводская улица, 27",14,7.8,1983,1, раздельный,,,,,,,
31.2,6,9,2170000,"Калининградская область, Калининград, р-н Московский, Тихорецкая улица, 20",23,6,2014,1, совмещенный,1, балкон,Косметический,Кирпичный,Железобетонные,,
34,6,9,1590000,"Калининградская область, Калининград, р-н Московский, улица Генерала Толстикова",20,6,1987,1, раздельный,1, балкон,Без ремонта,Кирпичный,,,
32.6,12,14,1700000,"Калининградская область, Калининград, р-н Московский, Летняя улица, 70",15,9.6,,1, совмещенный,1, лоджия,Без ремонта,,,,
32,1,4,2100000,"Калининградская область, Калининград, р-н Московский, проспект Калинина, 27",,8.3,1989,1, совмещенный,,,Косметический,,,,
42,2,9,2050000,"Калининградская область, Калининград, р-н Московский, Интернациональная улица",,,1998,,,1, лоджия,Евроремонт,Панельный,,,
42,2,3,2000000,"Калининградская область, Калининград, р-н Московский, Окская улица, 17",22,11,2018,,,,,,,,,
43.8,4,5,1820000,"Калининградская область, Калининград, р-н Московский, улица Ульяны Громовой, 107",18,10,1994,1, совмещенный,1, балкон,Без ремонта,Панельный,Железобетонные,Центральное,Центральное
37,2,5,1700000,"Калининградская область, Калининград, р-н Московский, улица Ивана Земнухова, 8",18,9.2,1987,,,,,,,Железобетонные,Центральное,Центральное
40,4,9,1760000,"Калининградская область, Калининград, р-н Московский, улица Лилии Иванихиной, 16",18,9,1990,1, совмещенный,1, балкон,Косметический,Панельный,Железобетонные,Центральное,Центральное
28,2,8,1950000,"Калининградская область, Калининград, р-н Московский, улица Генерала Толстикова",,,,1, совмещенный,1, балкон,Евроремонт,,,,
31,4,9,1900000,"Калининградская область, Калининград, р-н Московский, улица Александра Суворова, 29",14,9,2016,,,,,,Кирпичный,Железобетонные,Центральное,
